plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,#stem_rot_plant,lodging,plant_type,Early Bulking,CBB_score,#CWBD_plants,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024204DMEPR_tanhoi_rep2_VH22-0003_133,VH22-0003,IBA920057,NA,tanhoi,133,13,1,2,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,20,27,0
2024204DMEPR_tanhoi_rep2_VH22-0369_134,VH22-0369,TMEB419,NA,tanhoi,134,13,2,2,0,0.9,1,1,2,2,0,0,1,,1,2,cylindrical,1,Yellow,30,24.4,0
2024204DMEPR_tanhoi_rep2_KM505_135,KM505,SM937-26,NA,tanhoi,135,13,3,2,1,1,2,2,2,2,3,0,1,,1,0,cylindrical,1,Yellow,19,21,0
2024204DMEPR_tanhoi_rep2_VH22-0511_136,VH22-0511,AR37-103,NA,tanhoi,136,13,4,2,0,0.9,1,1,1,1,0,0,2,,1,0,cylindrical,3,dark_brown,10,25.4,0
2024204DMEPR_tanhoi_rep2_VH22-0159_137,VH22-0159,CR24-16,NA,tanhoi,137,13,5,2,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,27,27.2,0
2024204DMEPR_tanhoi_rep2_TMEB419_138,TMEB419,NA,NA,tanhoi,138,13,6,2,1,1,1,1,1,1,1,0,1,,1,2,cylindrical,1,dark_brown,21.4,27.6,0
2024204DMEPR_tanhoi_rep2_VF22-0147_139,VF22-0147,HL-S11,IBA980581,tanhoi,139,13,7,2,0,0.3,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,12.8,22.5,33.33
2024204DMEPR_tanhoi_rep2_VH22-0237_140,VH22-0237,CR24-16,NA,tanhoi,140,13,8,2,0,0.3,1,1,1,1,0,0,5,,1,0,conical,3,Yellow,4.4,21.08,100
2024204DMEPR_tanhoi_rep2_VH22-0088_141,VH22-0088,IBA980581,NA,tanhoi,141,13,9,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,2,dark_brown,22,27.4,22.22
2024204DMEPR_tanhoi_rep2_VH22-0272_142,VH22-0272,CR24-16,NA,tanhoi,142,13,10,2,0,0.8,1,1,1,1,0,0,3,,1,0,cylindrical,1,dark_brown,26.6,27.9,0
2024204DMEPR_tanhoi_rep2_VF22-0019_143,VF22-0019,CR24-16,KU50,tanhoi,143,13,11,2,0,0.7,1,1,1,1,2,0,3,,3,0,cylindrical,3,dark_brown,10.6,28,28.57
2024204DMEPR_tanhoi_rep2_VF22-0089_144,VF22-0089,CR24-16,HL-S11,tanhoi,144,14,11,2,0,0.3,1,1,1,1,1,0,5,,1,0,conical,3,dark_brown,2,24.32,66.67
2024204DMEPR_tanhoi_rep2_VF22-0130_145,VF22-0130,HL-S11,IBA980581,tanhoi,145,14,10,2,0,0.5,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,14.6,18.5,60
2024204DMEPR_tanhoi_rep2_VH22-0010_146,VH22-0010,IBA920057,NA,tanhoi,146,14,9,2,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,27.6,26.7,0
2024204DMEPR_tanhoi_rep2_VH22-0287_147,VH22-0287,KM419,NA,tanhoi,147,14,8,2,0,0.7,1,1,1,1,0,0,4,,1,0,conical,3,cream,10.4,21.8,42.86
2024204DMEPR_tanhoi_rep2_VF22-0167_148,VF22-0167,HL-S11,IBA980581,tanhoi,148,14,7,2,0,0.2,1,1,1,1,0,0,3,,1,0,cylindrical,1,Yellow,15.4,28,0
2024204DMEPR_tanhoi_rep2_VF22-0013_149,VF22-0013,CR24-16,HL-S14,tanhoi,149,14,6,2,0,1,1,1,1,1,0,0,1,,1,2,cylindrical,1,Yellow,22.2,21.1,50
2024204DMEPR_tanhoi_rep2_VH22-0187_150,VH22-0187,CR24-16,NA,tanhoi,150,14,5,2,0,0.7,1,1,1,1,0,0,3,,1,0,cylindrical,3,dark_brown,7,22.7,57.14
2024204DMEPR_tanhoi_rep2_VF22-0036_151,VF22-0036,TMEB419,KU50,tanhoi,151,14,4,2,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,32,23.5,11.11
2024204DMEPR_tanhoi_rep2_VH22-0186_152,VH22-0186,CR24-16,NA,tanhoi,152,14,3,2,0,0.8,1,1,1,1,0,0,4,,1,0,cylindrical,3,dark_brown,13.6,30,0
2024204DMEPR_tanhoi_rep2_VH22-0564_153,VH22-0564,IBA980505,NA,tanhoi,153,14,2,2,0,0.3,1,1,1,1,0,0,2,,1,0,cylindrical,1,cream,1,7.85,33.33
2024204DMEPR_tanhoi_rep2_VF22-0120_154,VF22-0120,Rayong 11,AR35-1,tanhoi,154,14,1,2,0,1,1,1,1,1,1,0,3,,1,5,cylindrical,1,dark_brown,12.9,25.7,30
