plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,Column1,1M_Vigor,3M_Vigor,1M_CMD,3M_CMD,6M_CMD,CMD_harvest,Root Shape,percentage_root_rot,Plant Type,Logging %,Stem Count,root_type,Root_skin_color,plot_weight,starch_content
2024207DMEAR_dona_rep3_VF21-0264_51,VF21-0264,HL-S13,C33,dona,51,13,3,3,0,1.00,3,4,1,1,1,1,Cylindrical ,12.00,1,20,40,,Cream,49.1,20.7
2024207DMEAR_dona_rep3_VH21-1505_52,VH21-1505,IBA972205,NA,dona,52,13,4,3,0,1.00,3,4,1,1,1,1,Cylindrical ,8.00,1,5,33,,Brown ,38.8,16.5
2024207DMEAR_dona_rep3_HLF21-0019_53,HLF21-0019,AR9-18,KM140,dona,53,14,4,3,0,0.88,5,5,1,1,1,1,Cylindrical ,45.45,1,20,32,,Cream,31,15.7
2024207DMEAR_dona_rep3_VH21-1513_54,VH21-1513,IBA980505,NA,dona,54,14,3,3,0,0.76,3,3,1,1,1,1,Cylindrical ,5.26,2,15,22,,Cream,43.8,22.5
2024207DMEAR_dona_rep3_HLH21-0035_55,HLH21-0035,AR9-18,NA,dona,55,14,2,3,0,1.00,2,3,1,1,1,1,Cylindrical ,0.00,2,0,50,,Cream,71.2,20
2024207DMEAR_dona_rep3_HLH21-0046_56,HLH21-0046,KU50,NA,dona,56,14,1,3,0,0.96,4,2,1,1,1,1,Cylindrical ,0.00,1,10,47,,Cream,37.2,21.2
2024207DMEAR_dona_rep3_VH21-1521_57,VH21-1521,AR9-18,NA,dona,57,15,1,3,0,1.00,4,2,1,1,1,1,Cylindrical ,0.00,1,10,40,,Cream,42,21.5
2024207DMEAR_dona_rep3_VF21-0315_58,VF21-0315,HL-S14,AR9-18,dona,58,15,2,3,0,0.96,4,4,1,1,1,1,Cylindrical ,0.00,1,10,31,,Cream,44.2,26
2024207DMEAR_dona_rep3_TMEB419_59,TMEB419,NA,NA,dona,59,15,3,3,1,1.00,4,2,1,1,1,1,Cylindrical ,4.00,1,0,60,,Dark_brown,64.8,22.5
2024207DMEAR_dona_rep3_KU50_60,KU50,NA,NA,dona,60,15,4,3,1,1.00,5,4,1,2,3,3,Cylindrical ,0.00,2,20,35,,Brown ,71.5,26
